name,address,link,category
Kee's Loaded Kitchen,"3625 NE MLK Jr Blvd, Portland Or",https://www.facebook.com/KeesLoadedKitchen/,food/bev
Yaad Style Jamaican Cuisine,"3532 NE MLK Jr Blvd, Portland Or",http://www.yaadstylejamaican.com/,food/bev
Caribbean Spice,"4516 NE 42nd Ave, Portland Or",https://www.yelp.com/biz/caribbean-spice-portland,food/bev
42nd Ave Fish & Chips,"5302 NE 42nd Ave, Portland Or",https://www.yelp.com/biz/42nd-ave-fish-and-chips-portland,food/bev
Hana's New Orleans Snowballs & More,"NE Martin Luther King Jr Blvd, Portland Or",https://www.facebook.com/hanaspdx/,food/bev
Jamaican Homestyle Cuisine,"441 N Killingsworth St, Portland Or",https://www.jamaicanhomestylepdx.com/,food/bev
Cannon's Rib Express,"3625 NE Martin Luther King
Portland, Or",http://www.cannonsribexpress.com/,food/bev
Catfish Lane,"8145 SE 82nd Ave, Portland Or",http://www.cartlandia.com/carts#/catfish-lane,food/bev
Best Brows In Portland,"11 NE Martin Luther King Jr Blvd Suite 301, Portland Or",http://www.bestbrowsinportland.com/,beauty
Amir's Motherland Dish,"7100 NE Glisan St, Portland Or",https://amirs-motherland-dish.business.site/,food/bev
DB Dessert Company,"6824 NE Glisan St, Portland Or ",https://www.dbdessertcompany.com/,food/bev
Dean's Beauty Salon,"215 NE Hancock St, Portland Or",http://deansbeautysalon.com/,beauty
Designz By Shiree,unavailable,https://designzbyshiree.squarespace.com/,design
Cason's Fine Meats,"5015 NE MLK Jr Blvd, Portland Or",https://www.casonsfinemeats.com/,food/bev
Deadstock Coffee Roasters,"408 NW Couch st. Suite 408, Portland Or",http://www.deadstockcoffee.com/,food/bev
Merkato Ethiopian Music & Food Store,"2605 NE MLK jr Blvd, Portland Or",https://www.mesopdx.org/merkato-ethiopian-food-store-llc/,food/bev
Hayat Somali Restaurant,"16755 SW Baseline Rd, Beaverton Or",http://www.hayatsomalirestaurant.com/,food/bev
Queen of Sheba Resturant,"2413 NE MLK Jr Blvd, Portland Or",https://queenofsheba.biz/,food/bev
Bole Etheopian Restuarant,"915 NE Alberta, Portland Or",https://www.facebook.com/boleethiopianpdx/,food/bev
Trap Kitchen,"8523 SE Stark, Portland Or",https://www.trapkitchen.com/,food/bev
Po'Shines Cafe De La Soul,"8139 N Denver Ave, Portland Or",http://www.poshines.com/,food/bev
Fish Fusion,"5800 NE MLK Jr Blvd, Portland Or",https://www.facebook.com/fishfusion/,food/bev
Black Star Grill,"1927 SW 4th Ave, Portland OR",http://blackstargrill.com/,food/bev
Champions Barbering Institute,"424 NE Killingsworth St, Portland, OR",https://www.cbi.life/,beauty
Conscious Coils,"1033 SW Yamhill St. Suite 103, Portland, Or",http://www.consciouscoils.com/,beauty
Design + Culture Lab,unavailable,http://www.designculturelab.com/,design
Dub's St. Johns,"8727 N Lombard St. Portland, Or",https://www.facebook.com/dubstjohns/,food/bev
Enat Kitchen,"300 N Killingsworth St Portland, Or",https://www.facebook.com/Enat-Kitchen-125506387476653/about/,food/bev
Felton and Mary's Artisan Foods,unavailable,https://feltonandmary.com/#felton-mary,food/bev
Flowers Chiropractic,"2124 NE Hancock St Portland, Or",https://drbillyflowers.com/,healthcare
Green Haus Botique + Gallery,"376 NE Sumner St, Portland, OR",http://www.greenhausgallery.com/,clothing
A Heavenly Taste Cafe,"4200 NE MLK Jr Blvd, Portland, Or",https://www.facebook.com/AHeavenlyTasteCafe/about/,food/bev
Highland African American Youth Community Coalition,"7600 NE Glisan Street, Portland, OR",http://haaycc.com/home/index.php/about/,misc
Holla Mentors,"3435 NE 45th Ave. Suite E, Portland, Or",http://www.hollamentors.org/,misc
